milestone,date,status,evidence,data_hash,note
Phase 2 M3 features.py,2026-06-11,DONE,integrated/Phase2_M3_Feature_Module_Result_v0.1.md,-,"engine/features.py(동결 6 feature만). verbatim-inline과 byte-perfect 1:1(키숨김): broad/smallmid raw매트릭스(value/quality/momentum/lowvol)·event 4 YoY subs 전부 동일 / event composite 154332+blend 162169 멤버-월 max|Δ|=0. coverage 보고. acceptance 6/6. REGISTRY frozen. 다음=M4 cost.py"
Phase 2 M4 cost.py,2026-06-11,DONE,integrated/Phase2_M4_Cost_Module_Result_v0.1.md,-,"engine/cost.py(동결 tier+turnover만). 저장 CSV 재현(키숨김): broad B3 quality net_ann Δ=9e-17·turnover Δ=0 / quarantine cost-stress 1x2x3x +4.41/+4.19/+3.98 / smallmid quality·event·blend net_cw 1x2x3x CSV일치. tier 동치(mc5/10/15·adv25/45/75). acceptance 5/5. 다음=M5 evaluate.py"
Phase 2 M5 evaluate.py,2026-06-11,DONE,integrated/Phase2_M5_Evaluate_Module_Result_v0.1.md,-,"engine/evaluate.py(메트릭 일원화·순수 L패널). 5실험 핵심수치 재현(키숨김): b2b5_broad 4슬리브 20수치 Δ~1e-17 / quality IC-IR0.220·subperiod0.424/0.046·CW-1.15·1N+1.79 / phase1b blend icir0.20·rec0.306·net-2.44 / event ic0.005·icir0.069·rec0.219·net-0.90 / smallmid 3신호 ic·icir·net_cw. IC/IC-IR/Q5-Q1/long-only/subperiod/버킷/turnover. 클라이맥스 통과. 다음=M6 kills.py"
Phase 2 M6 kills.py,2026-06-11,DONE,integrated/Phase2_M6_Kills_Module_Result_v0.1.md,-,"engine/kills.py(사전등록 kill 템플릿+verdict만). 11실험 verdict+fired집합 정확재현(키숨김): broad 4슬리브(quality만 SURVIVE)·quarantine FAIL{longonly_cw}·phase1b blend FAIL{net_cw,early,sector_n,longonly}·event FAIL{net_cw,cost2x,longonly,sector_n}·smallmid q/e/b FAIL. 5 kill-set(broad/quarantine/phase1b/event/smallmid). 다음=M7 report.py"
Phase 2 M7+M8 report+run,2026-06-11,DONE,integrated/Phase2_M7_M8_Report_Run_Result_v0.1.md,-,"engine/report.py(표준 md/csv)+run.py(config-driven 러너 M1~M7 오케스트레이션). 회귀게이트 PASS(키숨김): config로 7실험 재실행→B2~B5 머신정밀도·sm q/e/b net_cw·verdict·fired-kill 동결 재현. 게이트가 broad vs smallmid 합성 dropna 차이 잡음→composite_predropna 플래그. regression_report.{csv,md} 생성"
Phase 2 Engine Hardening,2026-06-11,COMPLETE,integrated/Phase2_M7_M8_Report_Run_Result_v0.1.md,-,"engine/ 8모듈(data·universe·features·cost·evaluate·kills·report·run) config-driven 완성. 전부 API-free 동결재현(M1~M8 PASS). 입력=캐시 snapshot+manifest+TICKERS. 원본스크립트 미접촉. 다음 arena=새 data어댑터+config. KR=Deferred 진입조건 충족"
Scope decision US-only,2026-06-11,LOCKED,integrated/US_Only_Completion_Roadmap_v0.1.md,-,"프로젝트 scope=US-only 고정. KR=Future Market Adapter(Deferred, next-immediate 아님). handoff에서 KR-B0 제거→US-Only Completion Roadmap: P3.1 engine packaging·P3.2 config/run/report workflow·P3.3 next-edge protocol OR paper-ready simulator(택1 사전등록)·P3.4 subscription/key housekeeping. 권고순서 P3.1→P3.2→(P3.4/P3.3)"
P3.1 engine final packaging,2026-06-11,DONE,integrated/P3_1_Engine_Final_Packaging_Result_v0.1.md,-,"README_ENGINE.md(빠른시작·8모듈·config사용법·snapshot·US-only/KR Deferred)·legacy/ 원본14 copy보존·requirements.txt 핀(py3.12.3/pandas3.0.3)·회귀game command. 인증(키숨김): data.py validate PASS(9hash무손상)+_smoke_run.py PASS(7실험 동결재현). 숫자/raw 0변경. 다음=P3.2 workflow"
P3.2 config/run/report workflow,2026-06-11,DONE,integrated/P3_2_to_4_Completion_Result_v0.1.md,-,"engine/configs.py(10 named config)·run.py CLI(list/single/all)·reports/engine/engine_runs.{csv,md} 표준화. 10 config 전부 동결 verdict/숫자 재현(키숨김)"
P3.3 paper-ready simulator,2026-06-11,DONE,integrated/P3_2_to_4_Completion_Result_v0.1.md,-,"택1=B. engine/simulator.py(config→paper-trade-ready NAV/PnL: quantile-EW 사이징·체결비용 cost.py·결정적 risk-veto 훅·벤치 CW/1N·turnover/maxDD/Sharpe). 데모 sm_blend=인프라검증(FAIL신호, NOT 거래추천, no live/paper). A(next-edge)는 미래옵션 보존"
P3.4 housekeeping,2026-06-11,DONE,integrated/P3_2_to_4_Completion_Result_v0.1.md,-,"HASHES.txt 완전재생성(14파일·기존9 byte-identical+신규편입)·validate 전부matched·신규0 PASS·.ndl_key gitignored·raw1.1G 백업. 사용자액션 잔여: API키재발급(노출)·구독해지(윈도우끝)"
US-Only Completion Roadmap,2026-06-11,COMPLETE,integrated/P3_2_to_4_Completion_Result_v0.1.md,-,"P3.1~P3.4 완료. US-only 프로젝트 끝까지 완성·재현·실행가능. Phase1A/1B CLOSED·Phase2 engine COMPLETE·P3 completion COMPLETE. KR=Deferred. no live/paper(통과edge0). 열린선택: (a)next-edge protocol (b)KR재가동 (c)현상태 마침표"
v2.0 True PEAD,2026-06-11,FAIL,reports/V2_pead_true_result.md,-,"사전등록 1회 event-time(공시앵커 SF1 datekey·reaction[-1+1]·drift[+2+21]·top1500 PIT·60862이벤트). Rank IC=-0.015(IC-IR-0.168 t-1.85)=부호반대=반전(PEAD under-reaction 가설의 반대). long-only net vs 벤치 -2.25%·Q5-Q1 gross-3.18%·2021-26 IC-IR-0.107·유동성 둘다음수. 4 kills FAIL. 대형주=공시정보 즉시반영후 되돌림(PEAD는 소형현상). 코드 pead_true_v1.py. no tuning/no live"
US public daily edge search,2026-06-11,CLOSED,integrated/Next_Data_Axis_Selection_v0.1.md,-,"5 edge family 전부 사망(level/결합/smallmid/event/PEAD) 사전등록 kill로=로버스트 negative. 공개·일별·cross-sectional US edge 없음. 방법전환=앞으로 full validation 전 rapid screen(무료/샘플 단일 IC-IR+비용부호 1회) 먼저. 다음=데이터축 전환: 추천 A=analyst estimate/revision(엔진 재사용·v1 데이터공백 메움·PIT history 확인 먼저), B=intraday 후순위, C=KR Deferred"
V2.1 estimate data gate,2026-06-11,GO-structure/HOLD-price,reports/V2_1_estimate_data_gate.md,-,"PIT analyst revision 데이터 접근성 확인(알파아님·결제0). NDL Zacks ZACKS/EEH=기존키로 접근·obs_date(PIT)·eps_mean_est·eps_cnt_est_rev_up/down(revision신호)·dispersion·ZACKS/FC actual(SUE). 첫 후보가 구조/PIT 바 통과. 단 무료=2018샘플1년만(2019+/2016-17/2022 0행)→전체 history 별도 Zacks구독(가격 미확인). FMP/Finnhub=free key 가입 필요·PIT 불확실 HOLD. 다음=무료2018 rapid IC 스크린(부호확인)→가격확인→full kill-test"
V2.1 zacks 2018 rapid screen,2026-06-11,FAIL-sample,reports/V2_1_zacks_2018_rapid_screen.md,-,"결제전 부호확인. 무료 EEH샘플=2018+Dow30 메가캡22종뿐→cross-section불가(5분위=4종). primary IC+0.0104/Q5-Q1+0.20%·raw IC-IR+0.182=부호 양수(PEAD 반전과 달리 방향 안틀림) 단 n=22 무의미→사전룰 sample부족 FAIL. zero-cost 디리스크 구조적 불가=순수 결제결정. 축 HOLD(CLOSE아님). 결정: (a)Zacks구독→v2.2(base-rate경고:revision도 소형강세→top1500 cap-weight벽 가능·무료22종=가장불리 메가캡) (b)HOLD blind spend안함 (c)FMP/Finnhub 대체"
PROJECT WRAPPED,2026-06-11,WRAPPED,integrated/PROJECT_WRAP_v0.1.md,-,"용하 결정=HOLD/매듭(blind spend 안함). 6 edge 가설 전멸(level/결합/smallmid/event/PEAD/revision-게이트)=감사가능 negative. 자산=engine 8모듈 config-driven+simulator+데이터정직성검증. revision 부호양수는 미래재방문 후보(Zacks유료·base-rate경고). housekeeping=키재발급·구독해지(엔진무영향). 재개=새 data어댑터+config. 네비 PROJECT_MAP.md"
v3 kickoff + Codex review,2026-06-11,ACTIVE,integrated/V3_Locked_Decisions_and_Master_Plan_v0.1.md,-,"자동빌드 착수. LOCKED: US·₩100M paper·공격적 절대수익·모델OPEN(research결정)·Sharadar고정·주식+ETF+레버+선물·8레이어. Codex 적대리뷰 반영 v0.2=척추(일간루프+risk ledger+레버리지+잔혹스트레스) 먼저·deep/ML/선물/optimizer DEFER·모델research 제약+유죄추정·정직천장=레버리지된 modest edge"
v3 aggressive book + risk audit,2026-06-11,MEASURED,outputs/engine/aggr_book_nav.csv,-,"engine/aggr_book.py(Codex#1). 현실비용+섹터중립+per-name+borrow 후: net 1x CAGR+2.86%/Sharpe0.33/maxDD-21%, aggressive(lev1.6x avg/4x max·DD-cut·cooldown) CAGR+4.84%/Sharpe0.38/maxDD-26%. 비용2x→0.21·5x→사망(취약). COVID+5.9%·2022생존·2018Q4-11.5%. beta-0.14(crash내성). capacity~$500M. 정직: 레버리지=modest edge 확대(Sharpe불변)·비용쿠션 얇음. ₩100M→1.54억(+54%,9년)"
v3 model bake-off (empirical),2026-06-11,MEASURED,outputs/engine/model_bakeoff.csv,-,"walk-forward OOS(2020-26 74월)·포트폴리오레벨·비용후. baseline(5피처 z평균,죽은 value/lowvol 포함=핸디캡)-0.11 / ridge+0.15(죽은피처 무시 학습=denoise, 실제3피처book0.33엔 못미침) / GBM+0.02≈0(비선형 무보탬=theater). 정직판정: ML은 thin edge에 robust 증분OOS알파 못보탬=Codex예측 일치. 배포가능 Sharpe 0개. sklearn1.9 설치(로컬). trial ledger:3모델·튜닝0. 결론은 deep-research(literature)+council과 합산"
v3 spine + design specs (parallel),2026-06-11,ACTIVE,integrated/V3_Design_Specs_v0.1.md,-,"4스트림 병렬: Codex설계(리스크/실행/29단계루프/acceptance)·agent 데이터인프라(ETF/LETF 전부 SFP실재·LETF실가격decay·선물없음→proxy·$75k용량무관·SFP_FUNDS 1파일어댑터)·agent 모니터링/거버넌스(K1-5 kill·promotion gate STRICT=book FAIL Sharpe0.33<0.8·P1=데이터무결성+heartbeat)·deep-research(모델선택) 진행중. 척추 engine/{risk_engine,book_runner}.py 작동: CAGR+3.24%/Sharpe0.36/maxDD-18%/lev1.0x avg·Codex acceptance(결정성·데이터kill·레버cap) PASS. TODO: kill임계 60d β/ρ 보정·execution per-name·SFP_FUNDS pull"
v3 spine calibrated + execution.py,2026-06-11,MEASURED,outputs/engine/book_ledger.csv,-,"kill 임계 보정(correlation_breakdown 24m rolling beta·model_decay 12m): false trigger 26→4. book_runner CAGR+4.36%/Sharpe0.45/maxDD-18.6%/beta-0.14·Codex acceptance 4/4 PASS(결정성·데이터kill·레버cap·DD cooldown). engine/execution.py(agent): simulate_fills per-name(tier비용+sqrt impact+부분체결+borrow) smoke 4/4 PASS. 병렬 진행중: overlay alpha(ETF trend+vol)·monitor.py(K1-5)·deep-research(모델선택)"
v3 ETF trend+vol overlay (agent),2026-06-11,SURVIVE,reports/V3_overlay_alpha_result.md,-,"사전등록 1회·튜닝0: trend(closeadj>200d SMA, 15 ETF long-flat)+vol regime(SPY20d, >20%→x0.5). net Sharpe+0.85(2x+0.83)·CAGR+9.7%·maxDD-16%. ★equity MN book과 상관+0.018(무상관)→50/50 combo Sharpe 0.33→0.85(uplift+0.51). 4 kills 통과. 단 정직: trend 0.85는 2017-25 강추세 레짐 flattered(2022-15%)·long-flat=net long beta·single shot paper. = 진짜 분산 2번째 sleeve·앙상블 핵심. engine/overlay_alpha.py"
v3 COMBINED ensemble book,2026-06-11,MEASURED,outputs/engine/combined_book_nav.csv,-,"alpha ensemble 레이어: equity MN(Sharpe0.31)+ETF trend overlay(0.85) 무상관(corr+0.06) 결합. 50/50 combo Sharpe0.82·vol7.9%(↓)·maxDD-10.4%(↓)=분산 작동·2021-26 Sh1.11. aggressive 사이징(lev1.82x avg) Sharpe0.87·CAGR+11.88%·maxDD-18%·₩100M→2.77억(+177%,9년)·연8/10양수. engine/combined_book.py. ★정직: combo Sharpe는 trend sleeve 견인=2017-25 강추세 레짐 flattered(2022-13%)·진짜 trend~0.5-0.6 보수→forward 기대 Sharpe~0.6·single backtest·paper·promotion gate(0.8 live·12mo OOS) 미충족. 하지만 올바른 아키텍처(무상관 sleeve 결합후 레버=단일 레버보다 robust)=공격적 절대수익 현실경로. deep-research 모델선택 진행중→council."
v3 model-selection council DECISION,2026-06-11,LOCKED,integrated/V3_Model_Selection_Council_Decision_v0.1.md,-,"용하 mandate(모델선택=deep-research+council) 완료. 3독립소스 수렴(Codex 적대리뷰·우리 bake-off ridge0.15/GBM0.02<linear0.33·deep-research 105에이전트: GKX ML edge=micro-cap/pre-cost·ex-microcap 66-78%↓·deep전멸·t>3/DSR/PBO 필수). 결정: 모델공간 CONSTRAIN(OPEN→제약)=정규화선형+GBM challenger only·trial ledger·no deep. 진짜 lever=모델복잡도 아닌 *분산(앙상블)+실행+리스크엔지니어링*(combined book이 입증). effort 재배치: 무상관 sleeve↑·execution통합·risk통합·forward paper. deep-research전문=reports/V3_model_selection_deepresearch.json"
v3 combined cost-stress,2026-06-11,MEASURED,outputs/engine/combined_book_nav.csv,-,"결합 book 비용스트레스: 1x Sharpe0.82·2x0.70·3x0.59·5x0.35(무레버) — equity sleeve 단독은 5x서 사망인데 결합은 5x서도 +0.35 생존(저턴오버 trend sleeve가 비용내성 완충). 2x cost Sharpe0.70>promotion gate 0.5 기준 통과. = 분산이 수익뿐 아니라 cost-robustness도 키움. 단 trend-flattered·backtest·forward 미검증."
v3 governance gate demo,2026-06-11,VERIFIED,engine/monitor.py,-,"결합 book 실수치로 promotion_gate 호출→eligible=False(올바름): forward live-paper 0개월(최대블로커)·레버maxDD-18%>15%게이트(무레버-10%면통과)·2x-cost 필드 fail-closed. 백테스트로는 절대 live승격 불가, forward paper+DD규율 필수. 거버넌스 정상. 정직 tension: '공격적 레버'(-18%DD)는 promotable 게이트(DD<=15%) 위반→승격하려면 저레버. 3번째 sleeve(reversal) agent 진행중"
v3 sleeve3 short-term reversal,2026-06-11,FAIL,reports/V3_sleeve3_reversal_result.md,-,"사전등록 3번째 sleeve 후보. 1M reversal(top1500 sector-neutral L/S). gross Sharpe-0.52(비용前도 음수)·net1x-1.07·turnover937%/yr·net2x-1.62. corr(eq)-0.28·corr(ov)-0.09(무상관이나 적자스트림). 3-sleeve combo 0.82→0.25(낮춤). 3/4 kill. ST reversal=대형주서 cost後 사망(교과서). 시스템이 가짜알파 거부=규율. engine/sleeve3_reversal.py"
v3 REVIEW HANDOFF,2026-06-11,EXPORTED,integrated/PRAMANA_REVIEW_HANDOFF_v0.1.md,-,"외부검토용 핸드오프 1문서: TL;DR·검증커맨드·LOCKED결정·실증결과표(전 sleeve/combo/cost-stress/bake-off)·8레이어상태·정직 자체평가(약점6)·리뷰어 공격포인트6·artifacts index. combined book Sharpe0.87(trend-flattered→forward~0.6)·5x cost 0.35 생존·promotion gate 차단. 검토 맡길 준비완료"
v3 Codex adversarial review (handoff),2026-06-11,REVISE,integrated/PRAMANA_REVIEW_HANDOFF_v0.1.md,-,"Codex 적대리뷰 평결=REVISE·현상태 fundable 아님. 핵심: (1)실체는 ETF beta timing·equity L/S0.31=noise (2)forward Sharpe~0.45(combo 0.35-0.55)·2016-26 trend 친화레짐 flattered (3)무상관+0.06=benign artifact·스트레스 상관+0.25~0.60 (4)★same-close 실행 누수 확인(코드)→next-bar 필요·PIT 점검 (5)비용/세금/borrow sanitized·5x생존 약함 (6)레버 자기모순(-18%>15%게이트·procyclical). '$75k 안 넣음, 6-12mo forward paper+next-bar+borrow/tax 로그 있어야'. 수용→next: next-bar 재측정·비용현실화·net-beta·스트레스상관·trial ledger·forward paper. 문서 §8 전재"
v3 PROFIT-MAX aggressive book,2026-06-11,MEASURED,outputs/engine/profit_max_nav.csv,-,"모드전환(검증→수익최대화, 용하 '너무 검증치중'). 바닥규율만(no look-ahead·blow-up방지·paper), institutional 천장(promotion gate) paper엔 미적용. return-tilt(Sharpe-tilt eq27/ov73)→Sharpe0.88/CAGR+8%(50/50 0.82/+6.4%보다↑, 수익·리스크 둘다개선). 레버: 보수4x 0.93/+10%/-12%·공격5x 0.92/+11.6%/-15%·풀공격6x 0.90/+13%/-17%. 공격버전 ₩100M→2.71억(+171%/9년)·2021-26 Sh1.10·연8/10양수. engine/profit_max_book.py. 정직1줄: trend견인·regime-flattered→forward 낮음·same-close는 forward엔진서 next-bar. 다음 수익레버: LETF convex표현·sleeve추가·forward 가동"
v3 next-bar fix (look-ahead 제거),2026-06-11,VERIFIED,outputs/engine/combined_book_nb_nav.csv,-,"Codex #1·바닥. 신호 t·진입 t+1 재계산(공통그리드). equity Sharpe0.31→0.27·trend0.85→0.87(haircut 작음)·CAGR 안무너짐=책 살아남음. corr +0.06→-0.25(next-bar). 초기 '0.65개선'은 그리드정렬 버그였고 verify-before-done으로 잡음. engine/next_bar_sleeves.py"
v3 sleeve VRP short-vol,2026-06-11,REJECT,reports/V3_sleeve_vrp_result.md,-,"short UVXY carry+crash kill. worst month-62%(Brexit 단일갭)·maxDD-92%·crash kill은 multi-day만(Mar20 -95→-38) single-day gap 못막음(next-bar=spike종가 트리거 늦음). corr(ov)+0.52 비클린·combo 0.82→0.71 악화. 2 kill. tail-deadly 자본전 차단=규율. engine/sleeve_vrp.py"
v3 sleeve LETF convex,2026-06-11,SURVIVE,reports/V3_sleeve_letf_result.md,-,"trend ON시 3x LETF(TQQQ/UPRO/SOXL) 표현·next-bar·vol gate. standalone Sharpe0.79/CAGR+43%/vol68%/maxDD-58%. 정직: convexity가 naive레버 못이김(vol-matched ×26<×54), 단 결합서 risk-matched 소량 dose=combo CAGR+1.2%/yr(matched DD). 2017-26 trend-flattered·실DD 더큼(underlying -82/-90%). engine/sleeve_letf.py"
v3 book_final (수익-max),2026-06-11,MEASURED,outputs/engine/book_final_nav.csv,-,"최종 paper book: next-bar eq+trend+LETF소량 dose(VRP제외)·risk-budget 가중(eq0.46/trend0.51/letf0.04)·공격 사이징 DD ladder. 결합무레버 Sharpe1.18/CAGR+8.2%/maxDD-10%. 공격(vol40·4x) Sharpe1.12/CAGR+14.3%/maxDD-17%/2021-26 Sh1.27/₩100M→3.37억·연8/10양수. 정직: trend 견인·regime-flattered·corr-0.25 forward 미보장(Codex 스트레스+0.25~0.60)→forward Sharpe~0.6-0.8 보수. backtest·paper·no live. engine/book_final.py. 다음=forward paper 가동"
v3 forward_book + COMPLETION,2026-06-11,COMPLETE,integrated/V3_COMPLETION_v0.1.md,-,"engine/forward_book.py=현재 목표 포트폴리오 산출(트렌드 11/15 ON·LETF dose TQQQ/UPRO·eq L/S 289/288·레버3.06x·정상)+forward_log 적재(promotion gate 12mo 시계 2026-06 시작). V3_COMPLETION 문서: 8레이어 전부 구현·book_final aggressive Sharpe1.12/CAGR+14%/₩100M→3.37억(backtest)·정직 forward~0.6-0.8·바닥규율유지·천장 paper미적용·forward paper가 candidate 결정. 굴러가고 수익내는 paper 시스템 완성. live=forward통과+human gate 후에만"
v3 3mo paper run + dashboard,2026-06-11,RAN,outputs/dashboard.html,-,"용하 '실행+대시보드+3개월전부터 투자'. engine/dashboard.py: 2026-03-06~06-09(66거래일) ₩100M 일별 페이퍼 런(월말타깃 보유·일별마킹·eq+trend+LETF risk-budget·레버3x). 결과 +6.61%→₩1.066억·maxDD-11.7%·Sharpe(연,3mo표본)+1.01·현재 trend14/15 ON·TQQQ/UPRO·eq L/S289/288. self-contained HTML 대시보드(NAV곡선·DD·sleeve누적·현재보유·base64 PNG)→outputs/dashboard.html. 정직: 3개월=작은표본·최근 강추세 구간(trend-heavy book에 유리)·paper·no live·validation 아님. run_3mo_nav.csv"
V5 Aggressive Leveraged Core Beta — operational,2026-06-12,SHIP-as-paper (forward 가동),PRAMANA_V4/PRAMANA_V5_Problem_Frame_v0.2.md,-,"용하 '공격적 수익극대화·리스크수용·유연' 선택→v5=vol-target(28%)·캡2.0x·DD ladder 레버드 Core(SPY/QQQ). Codex 3회 REVISE 수용. in-sample 2016-26 +625%>QQQ+539%>SPY+301%·MDD-32%·Sharpe0.95(≈QQQ) → in-sample QQQ raw 넘음 BUT 레버지 알파 아님(Sharpe≈QQQ)·benign 샘플·forward-70%+ 가능·no-ruin 아님(gap 무력). forward_runner_v5.py 실가동(라이브인셉션2026-06-11)+사전등록 정량 판정표(상방참여≥80%·MDD≤-40%·레버breach=0·reconcile·수익-only합격금지). 멀티시점(multi_anchor_v5): 12mo QQQ넘음·3mo동률·6mo짐. 6mo분석(analyze_6mo): 레버가 낙폭2배증폭+vol-target procyclical(-6.3%p·저점디레버/반등놓침)=헷지/익절/낙폭예측 없음(설계상=알파 미해결). Research: MR thread1 REJECT(turnover3660%)·quality thread2 NEEDS_EVIDENCE(IC-IR0.22 희미·Core한계기여+0.03%p≈0). 유료 Sharadar 펀더멘털 실사용. 라벨 RESEARCH_ONLY/PRODUCTION_UNSAFE·live cap1.25~1.5x(crash-pack후). 12mo STOP: 못맞추면 '쉬운알파없음·Core Beta만 production-safe' 수용. 대시보드 production/multi_anchor_v5/v5_forward_dashboard.html. 정직: in-sample 승리는 레버, 진짜승패=다음crash+12개월규율(Codex). 커밋 5641a49/4ffa9f0/34560ba"
